,Premium,,,,,Loss,,,,
Group,2014,2015,2016,2017,2018,2014,2015,2016,2017,2018
1,126495,115222,105378,92222,79962,82640,56222,98286,367222,86610
2,829114,783113,723405,644,577089,248366,130113,90754,853173,346067
3,25386350,50815186,24874145,22628569,23457625,5914028,6621001,7143488,21543407,13051405
4,508509,608592,715796,434067,116163,29451,11322,30984,101481,-
5,2876209,4147591,7830537,9838188,10322437,19866000,1861363,2125762,6178780,186090
6,233681,241404,-,297182,245547,86871,39667,331885,1102823,788034
7,5250425,5375986,4891961,4004241,3884084,1136569,834962,1661189,4271,2218623
8,18967,17565,17644,30937,15128,2656,3500,20350,29248,9353
9,38674343,39516982,31000000,38693512,38035779,9982870,11872619,14774000,14774000,14774000
Grand Total,73904094,101621640,70158866,76019562,76733815,37349451,21433769,26276698,44954405,31460182
